Time resolution is 1 ps
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module tb_top.uut.rom.inst.native_mem_module.blk_mem_gen_v8_4_9_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Block Memory Generator module tb_top.uut.ram.inst.native_mem_module.blk_mem_gen_v8_4_9_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Tiempo | addr        | valid ready | wstrb | tx_req | tx_data
WARNING: 0ns : none of the conditions were true for unique case from File:C:/Users/raque/Documents/Proyectos_Taller_Digitales/project_1/project_1.srcs/sources_1/imports/scr/uart/uart_tx.sv:51
WARNING: 0ns : none of the conditions were true for unique case from File:C:/Users/raque/Documents/Proyectos_Taller_Digitales/project_1/project_1.srcs/sources_1/imports/scr/uart/uart_tx.sv:84
WARNING: 0ns : none of the conditions were true for unique case from File:C:/Users/raque/Documents/Proyectos_Taller_Digitales/project_1/project_1.srcs/sources_1/imports/scr/uart/uart_rx.sv:69
WARNING: 0ns : none of the conditions were true for unique case from File:C:/Users/raque/Documents/Proyectos_Taller_Digitales/project_1/project_1.srcs/sources_1/imports/scr/uart/uart_rx.sv:69
             3515000 | 00000018 |   0     0   |  0000   |   0    |   00
             3525000 | 00000018 |   1     0   |  1111   |   0    |   00
             3535000 | 00000018 |   1     1   |  1111   |   0    |   00
             3545000 | 00000018 |   0     0   |  1111   |   0    |   00
             3565000 | 00000008 |   1     0   |  0000   |   0    |   00
             3575000 | 00000008 |   1     1   |  0000   |   0    |   00
             3585000 | 00000008 |   0     0   |  0000   |   0    |   00
             3605000 | 0000000c |   1     0   |  0000   |   0    |   00
             3615000 | 0000000c |   1     1   |  0000   |   0    |   00
             3625000 | 0000000c |   0     0   |  0000   |   0    |   00
             3645000 | 00000010 |   1     0   |  0000   |   0    |   00
             3655000 | 00000010 |   1     1   |  0000   |   0    |   00
             3665000 | 00000010 |   0     0   |  0000   |   0    |   00
             3675000 | 00000018 |   1     0   |  1111   |   0    |   00
             3685000 | 00000018 |   1     1   |  1111   |   0    |   00
             3695000 | 00000018 |   0     0   |  1111   |   0    |   00
             3715000 | 00000014 |   1     0   |  0000   |   0    |   00
             3725000 | 00000014 |   1     1   |  0000   |   0    |   00
             3735000 | 00000014 |   0     0   |  0000   |   0    |   00
             3755000 | 00000018 |   1     0   |  0000   |   0    |   00
             3765000 | 00000018 |   1     1   |  0000   |   0    |   00
             3775000 | 00000018 |   0     0   |  0000   |   0    |   00
             3785000 | 00000018 |   1     0   |  1111   |   0    |   00
             3795000 | 00000018 |   1     1   |  1111   |   0    |   00
             3805000 | 00000018 |   0     0   |  1111   |   0    |   00
             3825000 | 00000008 |   1     0   |  0000   |   0    |   00
             3835000 | 00000008 |   1     1   |  0000   |   0    |   00
             3845000 | 00000008 |   0     0   |  0000   |   0    |   00
             3865000 | 0000000c |   1     0   |  0000   |   0    |   00
             3875000 | 0000000c |   1     1   |  0000   |   0    |   00
             3885000 | 0000000c |   0     0   |  0000   |   0    |   00
             3905000 | 00000010 |   1     0   |  0000   |   0    |   00
             3915000 | 00000010 |   1     1   |  0000   |   0    |   00
             3925000 | 00000010 |   0     0   |  0000   |   0    |   00
             3935000 | 00000018 |   1     0   |  1111   |   0    |   00
             3945000 | 00000018 |   1     1   |  1111   |   0    |   00
             3955000 | 00000018 |   0     0   |  1111   |   0    |   00
             3975000 | 00000014 |   1     0   |  0000   |   0    |   00
             3985000 | 00000014 |   1     1   |  0000   |   0    |   00
             3995000 | 00000014 |   0     0   |  0000   |   0    |   00
             4015000 | 00000018 |   1     0   |  0000   |   0    |   00
             4025000 | 00000018 |   1     1   |  0000   |   0    |   00
             4035000 | 00000018 |   0     0   |  0000   |   0    |   00
             4045000 | 00000018 |   1     0   |  1111   |   0    |   00
             4055000 | 00000018 |   1     1   |  1111   |   0    |   00
             4065000 | 00000018 |   0     0   |  1111   |   0    |   00
             4085000 | 00000008 |   1     0   |  0000   |   0    |   00
             4095000 | 00000008 |   1     1   |  0000   |   0    |   00
             4105000 | 00000008 |   0     0   |  0000   |   0    |   00
             4125000 | 0000000c |   1     0   |  0000   |   0    |   00
             4135000 | 0000000c |   1     1   |  0000   |   0    |   00
             4145000 | 0000000c |   0     0   |  0000   |   0    |   00
             4165000 | 00000010 |   1     0   |  0000   |   0    |   00
             4175000 | 00000010 |   1     1   |  0000   |   0    |   00
             4185000 | 00000010 |   0     0   |  0000   |   0    |   00
             4195000 | 00000018 |   1     0   |  1111   |   0    |   00
             4205000 | 00000018 |   1     1   |  1111   |   0    |   00
             4215000 | 00000018 |   0     0   |  1111   |   0    |   00
             4235000 | 00000014 |   1     0   |  0000   |   0    |   00
             4245000 | 00000014 |   1     1   |  0000   |   0    |   00
             4255000 | 00000014 |   0     0   |  0000   |   0    |   00
             4275000 | 00000018 |   1     0   |  0000   |   0    |   00
             4285000 | 00000018 |   1     1   |  0000   |   0    |   00
             4295000 | 00000018 |   0     0   |  0000   |   0    |   00
             4305000 | 00000018 |   1     0   |  1111   |   0    |   00
             4315000 | 00000018 |   1     1   |  1111   |   0    |   00
             4325000 | 00000018 |   0     0   |  1111   |   0    |   00
             4345000 | 00000008 |   1     0   |  0000   |   0    |   00
             4355000 | 00000008 |   1     1   |  0000   |   0    |   00
             4365000 | 00000008 |   0     0   |  0000   |   0    |   00
             4385000 | 0000000c |   1     0   |  0000   |   0    |   00
             4395000 | 0000000c |   1     1   |  0000   |   0    |   00
             4405000 | 0000000c |   0     0   |  0000   |   0    |   00
             4425000 | 00000010 |   1     0   |  0000   |   0    |   00
             4435000 | 00000010 |   1     1   |  0000   |   0    |   00
             4445000 | 00000010 |   0     0   |  0000   |   0    |   00
             4455000 | 00000018 |   1     0   |  1111   |   0    |   00
             4465000 | 00000018 |   1     1   |  1111   |   0    |   00
             4475000 | 00000018 |   0     0   |  1111   |   0    |   00
             4495000 | 00000014 |   1     0   |  0000   |   0    |   00
             4505000 | 00000014 |   1     1   |  0000   |   0    |   00
             4515000 | 00000014 |   0     0   |  0000   |   0    |   00
             4535000 | 00000018 |   1     0   |  0000   |   0    |   00
             4545000 | 00000018 |   1     1   |  0000   |   0    |   00
             4555000 | 00000018 |   0     0   |  0000   |   0    |   00
             4565000 | 00000018 |   1     0   |  1111   |   0    |   00
             4575000 | 00000018 |   1     1   |  1111   |   0    |   00
             4585000 | 00000018 |   0     0   |  1111   |   0    |   00
             4605000 | 00000008 |   1     0   |  0000   |   0    |   00
             4615000 | 00000008 |   1     1   |  0000   |   0    |   00
             4625000 | 00000008 |   0     0   |  0000   |   0    |   00
             4645000 | 0000000c |   1     0   |  0000   |   0    |   00
             4655000 | 0000000c |   1     1   |  0000   |   0    |   00
             4665000 | 0000000c |   0     0   |  0000   |   0    |   00
